scale,tiles,n,m,run,seed,algorithm,objective_type,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
large,80,3,3,17,1642,genetic_stochastic,square,16,231.742460241,16,16,80,28330,1367,88981,0.04825273561595482,65.09217264081931
large,80,3,3,18,1742,greedy,square,18,3.648013028,17,18,80,,,,,
large,80,3,3,18,1742,stochastic_greedy,square,18,2.982780684,18,18,80,,,,,
large,80,3,3,18,1742,genetic_greedy,square,16,144.383421517,16,16,80,28206,585,41479,0.020740268028079132,70.9042735042735
large,80,3,3,18,1742,genetic_stochastic,square,17,326.922129793,17,17,80,28459,1333,91785,0.046839312695456624,68.85596399099775
large,80,3,3,19,1842,greedy,square,18,4.666322542,17,18,80,,,,,
large,80,3,3,19,1842,stochastic_greedy,square,18,5.785485409,18,18,80,,,,,
large,80,3,3,19,1842,genetic_greedy,square,17,202.085066845,17,17,80,28512,878,62371,0.03079405162738496,71.0375854214123
large,80,3,3,19,1842,genetic_stochastic,square,17,278.363024857,17,17,80,28319,1581,108231,0.05582824252268795,68.4573055028463
large,80,3,3,20,1942,greedy,square,17,2.967825404,17,16,80,,,,,
large,80,3,3,20,1942,stochastic_greedy,square,18,3.473906024,18,17,80,,,,,
large,80,3,3,20,1942,genetic_greedy,square,16,150.319346016,16,16,80,28477,737,51922,0.025880535168732663,70.4504748982361
large,80,3,3,20,1942,genetic_stochastic,square,16,249.181571319,16,16,80,28429,4488,108143,0.1578669668296458,24.096033868092693
large,100,3,3,1,42,greedy,square,19,3.998172253,19,19,100,,,,,
large,100,3,3,1,42,stochastic_greedy,square,19,4.109009538,19,19,100,,,,,
large,100,3,3,1,42,genetic_greedy,square,17,322.719524625,17,17,100,28481,938,84287,0.03293423685966083,89.85820895522389
large,100,3,3,2,142,greedy,square,18,3.322184916,18,18,100,,,,,
large,100,3,3,2,142,stochastic_greedy,square,20,3.395304892,20,19,100,,,,,
large,100,3,3,2,142,genetic_greedy,square,18,241.476860577,18,18,100,28421,731,66619,0.025720418000774077,91.13406292749659
large,100,3,3,2,142,genetic_stochastic,square,18,184.85027899,18,18,100,28437,545,46736,0.01916517213489468,85.75412844036697
large,100,3,3,3,242,greedy,square,18,2.43164423,17,18,100,,,,,
large,100,3,3,3,242,stochastic_greedy,square,20,3.433603626,19,20,100,,,,,
large,100,3,3,3,242,genetic_greedy,square,17,291.528769348,17,17,100,28318,942,84340,0.03326506109188502,89.53290870488323
large,100,3,3,3,242,genetic_stochastic,square,17,338.422633477,17,17,100,28438,1251,105841,0.04399043533300513,84.60511590727418
large,100,3,3,4,342,greedy,square,19,3.266341301,17,19,100,,,,,
large,100,3,3,4,342,stochastic_greedy,square,20,3.221239496,19,20,100,,,,,
large,100,3,3,4,342,genetic_greedy,square,18,261.397001525,18,18,100,28250,892,80808,0.03157522123893805,90.59192825112108
large,100,3,3,4,342,genetic_stochastic,square,18,345.519835159,18,18,100,28311,1325,112964,0.046801596552576735,85.25584905660378
large,100,3,3,5,442,greedy,square,18,3.353005244,18,18,100,,,,,
large,100,3,3,5,442,stochastic_greedy,square,18,2.964508726,18,18,100,,,,,
large,100,3,3,5,442,genetic_greedy,square,17,294.294421703,17,17,100,28303,1059,93278,0.03741652828322086,88.08120868744098
large,100,3,3,5,442,genetic_stochastic,square,18,271.849807356,18,18,100,28413,960,83022,0.03378735086052159,86.48125
large,100,3,3,6,542,greedy,square,19,3.068107194,18,19,100,,,,,
large,100,3,3,6,542,stochastic_greedy,square,20,3.372844037,19,20,100,,,,,
large,100,3,3,6,542,genetic_greedy,square,18,299.016702499,18,18,100,28392,964,88713,0.03395322626091857,92.0259336099585
large,100,3,3,6,542,genetic_stochastic,square,18,532.435637348,18,18,100,28397,2081,178681,0.07328238898475191,85.86304661220566
large,100,3,3,7,642,greedy,square,19,3.378513133,19,19,100,,,,,
large,100,3,3,7,642,stochastic_greedy,square,19,3.50089303,19,19,100,,,,,
large,100,3,3,7,642,genetic_greedy,square,18,227.567151556,18,18,100,28282,851,74738,0.030089809773000496,87.82373678025851
large,100,3,3,7,642,genetic_stochastic,square,18,245.434862397,18,18,100,28206,852,75813,0.030206339076792172,88.98239436619718
large,100,3,3,8,742,greedy,square,18,2.868426716,18,18,100,,,,,
large,100,3,3,8,742,stochastic_greedy,square,19,2.753790324,19,19,100,,,,,
large,100,3,3,8,742,genetic_greedy,square,17,130.085861733,17,17,100,28514,351,31643,0.012309742582591009,90.15099715099716
large,100,3,3,8,742,genetic_stochastic,square,18,317.384749593,18,18,100,28322,1230,104502,0.04342913636042652,84.9609756097561
large,100,3,3,9,842,greedy,square,19,3.216503522,19,19,100,,,,,
large,100,3,3,9,842,stochastic_greedy,square,19,2.793339153,18,19,100,,,,,
large,100,3,3,9,842,genetic_greedy,square,17,306.858633622,17,17,100,28417,1118,99197,0.03934264700707323,88.72719141323792
large,100,3,3,9,842,genetic_stochastic,square,18,291.571017859,18,18,100,28363,1061,91764,0.037407890561647214,86.48821866163996
large,100,3,3,10,942,greedy,square,19,2.895119531,18,19,100,,,,,
large,100,3,3,10,942,stochastic_greedy,square,20,2.835731143,19,20,100,,,,,
large,100,3,3,10,942,genetic_greedy,square,18,321.949943881,18,18,100,28386,1332,116723,0.046924540266328474,87.62987987987988
large,100,3,3,10,942,genetic_stochastic,square,18,234.155100399,18,18,100,28438,784,69064,0.0275687460440256,88.09183673469387
large,100,3,3,11,1042,greedy,square,19,3.225897163,18,19,100,,,,,
large,100,3,3,11,1042,stochastic_greedy,square,20,3.548302209,20,19,100,,,,,
large,100,3,3,11,1042,genetic_greedy,square,18,191.574578762,18,18,100,28406,545,48743,0.01918608744631416,89.43669724770642
large,100,3,3,11,1042,genetic_stochastic,square,18,517.927264668,18,18,100,28372,1928,167721,0.06795432116170873,86.99221991701245
large,100,3,3,12,1142,greedy,square,18,3.255314995,18,18,100,,,,,
large,100,3,3,12,1142,stochastic_greedy,square,19,3.222873262,19,19,100,,,,,
large,100,3,3,12,1142,genetic_greedy,square,18,447.532558792,18,18,100,28448,1584,139035,0.05568053993250844,87.77462121212122
large,100,3,3,12,1142,genetic_stochastic,square,18,263.763660416,18,18,100,28533,859,75036,0.03010549188658746,87.35273573923166
large,100,3,3,13,1242,greedy,square,19,3.50070131,19,19,100,,,,,
