scale,tiles,n,m,run,seed,algorithm,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
large,100,3,3,2,142,genetic_greedy,18,241.476861,18,18,100,28421,731,66619,0.025720418000774077,91.13406292749659
large,100,3,3,2,142,genetic_stochastic,18,184.850279,18,18,100,28437,545,46736,0.01916517213489468,85.75412844036697
large,100,3,3,3,242,greedy,18,2.431644,17,18,100,,,,,
large,100,3,3,3,242,stochastic_greedy,20,3.433604,19,20,100,,,,,
large,100,3,3,3,242,genetic_greedy,17,291.528769,17,17,100,28318,942,84340,0.03326506109188502,89.53290870488323
large,100,3,3,3,242,genetic_stochastic,17,338.422633,17,17,100,28438,1251,105841,0.04399043533300513,84.60511590727418
large,100,3,3,4,342,greedy,19,3.266341,17,19,100,,,,,
large,100,3,3,4,342,stochastic_greedy,20,3.221239,19,20,100,,,,,
large,100,3,3,4,342,genetic_greedy,18,261.397002,18,18,100,28250,892,80808,0.03157522123893805,90.59192825112108
large,100,3,3,4,342,genetic_stochastic,18,345.519835,18,18,100,28311,1325,112964,0.046801596552576735,85.25584905660378
large,100,3,3,5,442,greedy,18,3.353005,18,18,100,,,,,
large,100,3,3,5,442,stochastic_greedy,18,2.964509,18,18,100,,,,,
